yil,ihracat_m_usd,ciro_m_usd,arge_harcama_m_usd,istihdam_kisi,proje_sayisi,proje_portfoyu_mr_usd,yerlilesme_orani_pct,arge_ciro_pct,ihracat_ciro_pct,tahmini,kaynak
2000,150,800,,,,5.5,20,,18.8,1,~
2001,200,900,,,,6.0,20,,22.2,1,~
2002,248,1000,49,13500,62,5.5,20,4.9,24.8,0,SSB/TOBB
2003,300,1100,80,14000,80,6.5,22,7.3,27.3,1,~
2004,365,1250,120,15000,100,8.0,25,9.6,29.2,1,~
2005,430,1450,160,16000,130,10.0,28,11.0,29.7,1,~
2006,478,1650,190,16500,160,13.0,32,11.5,29.0,1,TOBB~
2007,420,2010,220,17000,190,15.0,36,10.9,20.9,1,TOBB~
2008,576,2317,228,17841,200,18.0,44,9.8,24.9,0,TOBB
2009,640,2400,206,19000,220,20.0,48,8.6,26.7,1,TOBB~
2010,853,2733,666,22000,250,25.0,52,24.4,31.2,0,TOBB/SSM
2011,1000,3200,700,26000,300,30.0,54,21.9,31.2,1,SSM~
2012,1100,3800,800,33491,360,35.0,57,21.1,28.9,0,SASAD
2013,1400,5000,900,36000,420,38.0,58,18.0,28.0,0,SASAD
2014,1650,5500,1000,42000,500,45.0,60,18.2,30.0,1,SASAD~
2015,1656,6500,1100,48000,560,50.0,63,16.9,25.5,0,TIM/SASAD
2016,1680,7200,1200,52000,620,55.0,65,16.7,23.3,1,SASAD~
2017,1750,6693,1300,44740,680,60.0,67,19.4,26.1,0,SASAD
2018,2200,8500,1450,63000,740,65.0,70,17.1,25.9,0,SASAD
2019,3068,10884,1672,73771,800,70.0,73,15.4,28.2,0,SASAD
2020,2800,10200,1800,75000,850,75.0,75,17.6,27.5,1,SASAD~
2021,3200,11000,1900,77000,900,80.0,76,17.3,29.1,1,SASAD~
2022,4400,12196,2061,81132,1000,88.0,79,16.9,36.1,0,SASAD
2023,5500,15072,2622,90969,1100,96.0,80,17.4,36.5,0,SASAD
2024,7154,20237,3415,100000,1350,100.0,80,16.9,35.4,0,SSB
2025,10054,22000,,105000,,,82,,45.7,1,SSB/TIM~
