yil,gsyih_mr_usd,gsyih_buyume_pct,savunma_butcesi_mr_usd,savunma_gsyih_pct,silah_ithalat_kuresel_pay_pct,tl_usd_kur,enflasyon_pct,kaynak
2000,273,6.8,17.4,3.8,2.4,0.62,55,SIPRI/WB
2001,200,-5.7,7.2,3.6,2.2,1.23,54,SIPRI/WB
2002,230,6.4,8.7,3.8,2.1,1.51,45,SIPRI/WB
2003,305,5.6,10.8,3.5,2.0,1.49,25,SIPRI/WB
2004,392,9.6,10.6,2.7,1.9,1.43,10,SIPRI/WB
2005,483,8.4,13.2,2.7,1.8,1.34,8,SIPRI/WB
2006,530,6.9,13.2,2.5,1.7,1.43,10,SIPRI/WB
2007,648,5.0,13.7,2.1,1.7,1.3,8,SIPRI/WB
2008,730,0.8,15.0,2.1,2.2,1.3,10,SIPRI/WB
2009,617,-4.7,14.8,2.4,2.2,1.55,6,SIPRI/WB
2010,731,8.5,15.6,2.1,1.9,1.5,9,SIPRI/WB
2011,774,11.1,15.5,2.0,1.9,1.67,6,SIPRI/WB
2012,788,4.8,14.9,1.9,2.4,1.79,9,SIPRI/NATO
2013,858,8.5,16.0,1.9,2.4,1.9,8,SIPRI/NATO
2014,934,5.2,15.4,1.7,2.4,2.19,9,SIPRI/NATO
2015,862,6.1,15.4,1.8,1.7,2.72,8,SIPRI/NATO
2016,863,3.3,15.0,1.7,1.7,3.02,8,SIPRI/NATO
2017,851,7.5,15.5,1.8,1.3,3.65,11,SIPRI/NATO
2018,771,3.0,14.5,1.9,1.3,4.83,16,SIPRI/NATO
2019,760,0.9,13.5,1.8,1.6,5.68,15,SIPRI/NATO
2020,717,1.9,12.0,1.7,1.6,7.0,14,SIPRI/NATO
2021,815,11.4,14.0,1.7,,8.9,19,SIPRI/TUIK
2022,906,5.5,10.6,1.2,1.1,16.6,72,SIPRI/TUIK
2023,1108,5.1,17.0,1.5,1.1,23.7,65,SIPRI/TUIK
2024,1323,3.2,22.8,1.9,,32.9,58,WB/SIPRI
2025,1565,3.5,35.0,2.1,,38.0,38,IMF~
