yil,toplam_universite,devlet_universite,vakif_universite,ogrenci_mn,brut_okulasma_pct,ogretim_elemani,kaynak
2000,74,53,21,1.1,18,35000,YOK~
2002,76,53,23,1.3,20,38000,YOK~
2004,89,60,29,1.5,22,42000,YOK
2006,112,73,39,2.0,30,55000,YOK
2008,137,94,43,2.4,35,70000,YOK
2010,156,102,54,2.9,42,87000,Sosyalveri
2012,172,112,60,3.6,52,100000,YOK~
2014,188,122,66,4.4,63,112000,YOK~
2016,197,124,73,5.5,75,119000,YOK~
2018,204,129,75,6.2,85,119000,YOK~
2020,207,129,78,6.5,90,120000,YOK
2022,207,129,78,7.0,95,123000,Sosyalveri
2024,208,129,79,7.1,96,125000,YOK
