Üniversite,Bölüm,Program Kodu,Öğrenim Dili,Yıl,Puan Türü,Kontenjan,Taban Puan,Başarı Sırası
İTÜ,Uçak Mühendisliği,105510538,Türkçe,2015,MF-4,52,465.6,
İTÜ,Uçak Mühendisliği,105510538,Türkçe,2016,MF-4,62,488.811,7230
İTÜ,Uçak Mühendisliği,105510538,Türkçe,2017,MF-4,62,478.995,7389
İTÜ,Uçak Mühendisliği,105510538,Türkçe,2018,SAY,62,496.462,6804
İTÜ,Uçak Mühendisliği,105510538,Türkçe,2019,SAY,72,502.965,6144
İTÜ,Uçak Mühendisliği,105510538,Türkçe,2020,SAY,72,519.291,5987
İTÜ,Uçak Mühendisliği,105510538,Türkçe,2021,SAY,72,468.633,6019
İTÜ,Uçak Mühendisliği,105510538,Türkçe,2022,SAY,72,524.252,4973
İTÜ,Uçak Mühendisliği,105510538,Türkçe,2023,SAY,52,531.598,3611
İTÜ,Uçak Mühendisliği,105510538,Türkçe,2024,SAY,52,526.272,2963
İTÜ,Uçak Mühendisliği,105510538,Türkçe,2025,SAY,50,,
İTÜ,Makine Mühendisliği,105510441,Türkçe,2014,MF-4,211,462.2,
İTÜ,Makine Mühendisliği,105510441,Türkçe,2015,MF-4,211,444.84,12283
İTÜ,Makine Mühendisliği,105510441,Türkçe,2016,MF-4,211,470.692,13100
İTÜ,Makine Mühendisliği,105510441,Türkçe,2017,MF-4,211,461.723,13015
İTÜ,Makine Mühendisliği,105510441,Türkçe,2018,SAY,205,480.617,11692
İTÜ,Makine Mühendisliği,105510441,Türkçe,2019,SAY,205,484.305,12514
İTÜ,Makine Mühendisliği,105510441,Türkçe,2020,SAY,205,500.384,15446
İTÜ,Makine Mühendisliği,105510441,Türkçe,2021,SAY,205,440.408,16356
İTÜ,Makine Mühendisliği,105510441,Türkçe,2022,SAY,205,507.3,13032
İTÜ,Makine Mühendisliği,105510441,Türkçe,2023,SAY,185,515.672,9886
İTÜ,Makine Mühendisliği,105510441,Türkçe,2024,SAY,154,508.639,7430
İTÜ,Makine Mühendisliği,105510441,Türkçe,2025,SAY,150,513.03,6054
İTÜ,Elektronik ve Haberleşme Müh.,105510565,Türkçe,2024,SAY,,525.13,
İTÜ,Elektronik ve Haberleşme Müh.,105510565,Türkçe,2025,SAY,,526.27,3785
İTÜ,Elektronik ve Haberleşme Müh. (İng),105510626,İngilizce,2021,SAY,62,483.009,3248
İTÜ,Elektronik ve Haberleşme Müh. (İng),105510626,İngilizce,2022,SAY,62,532.119,2580
İTÜ,Elektronik ve Haberleşme Müh. (İng),105510626,İngilizce,2023,SAY,62,535.185,2601
İTÜ,Elektronik ve Haberleşme Müh. (İng),105510626,İngilizce,2024,SAY,52,529.417,2388
İTÜ,Elektronik ve Haberleşme Müh. (İng),105510626,İngilizce,2025,SAY,50,,
