Üniversite,Bölüm,Program Kodu,Öğrenim Dili,Yıl,Puan Türü,Kontenjan,Taban Puan,Başarı Sırası
İYTE,Bilgisayar Mühendisliği,105810068,İngilizce,2021,SAY,93,442.565,
İYTE,Bilgisayar Mühendisliği,105810068,İngilizce,2022,SAY,93,513.664,9617
İYTE,Bilgisayar Mühendisliği,105810068,İngilizce,2023,SAY,93,518.962,8381
İYTE,Bilgisayar Mühendisliği,105810068,İngilizce,2024,SAY,98,499.309,
İYTE,Bilgisayar Mühendisliği,105810068,İngilizce,2025,SAY,95,,
İYTE,Elektrik Mühendisliği,105810041,İngilizce,2021,SAY,,,
İYTE,Elektrik Mühendisliği,105810041,İngilizce,2022,SAY,,,
İYTE,Elektrik Mühendisliği,105810041,İngilizce,2023,SAY,,,
İYTE,Elektrik Mühendisliği,105810041,İngilizce,2024,SAY,,,
İYTE,Makine Mühendisliği,105810095,İngilizce,2021,SAY,82,390.859,
İYTE,Makine Mühendisliği,105810095,İngilizce,2022,SAY,82,461.751,46464
İYTE,Makine Mühendisliği,105810095,İngilizce,2023,SAY,52,480.509,32210
İYTE,Makine Mühendisliği,105810095,İngilizce,2024,SAY,,,
İYTE,Makine Mühendisliği,105810095,İngilizce,2025,SAY,,,
