Üniversite,Bölüm,Program Kodu,Öğrenim Dili,Yıl,Puan Türü,Kontenjan,Taban Puan,Başarı Sırası
YTÜ,Bilgisayar Mühendisliği,110110031,Türkçe,2021,SAY,103,459.863,
YTÜ,Bilgisayar Mühendisliği,110110031,Türkçe,2022,SAY,103,524.016,5056
YTÜ,Bilgisayar Mühendisliği,110110031,Türkçe,2023,SAY,113,527.293,5039
YTÜ,Bilgisayar Mühendisliği,110110031,Türkçe,2024,SAY,118,514.282,5725
YTÜ,Bilgisayar Mühendisliği,110110031,Türkçe,2025,SAY,100,,
YTÜ,Elektronik ve Haberleşme Müh.,110110058,Türkçe,2021,SAY,113,423.518,
YTÜ,Elektronik ve Haberleşme Müh.,110110058,Türkçe,2022,SAY,113,497.211,19381
YTÜ,Elektronik ve Haberleşme Müh.,110110058,Türkçe,2023,SAY,113,507.1,14363
YTÜ,Elektronik ve Haberleşme Müh.,110110058,Türkçe,2024,SAY,,,
YTÜ,Elektronik ve Haberleşme Müh.,110110058,Türkçe,2025,SAY,,,
YTÜ,Elektrik Mühendisliği,110110049,Türkçe,2021,SAY,134,390.128,
YTÜ,Elektrik Mühendisliği,110110049,Türkçe,2022,SAY,134,462.079,46178
YTÜ,Elektrik Mühendisliği,110110049,Türkçe,2023,SAY,134,477.743,34345
YTÜ,Elektrik Mühendisliği,110110049,Türkçe,2024,SAY,130,458.59,47187
YTÜ,Elektrik Mühendisliği,110110049,Türkçe,2025,SAY,100,465.65,
YTÜ,Makine Mühendisliği,110110243,Türkçe,2021,SAY,216,403.565,
YTÜ,Makine Mühendisliği,110110243,Türkçe,2022,SAY,216,476.34,34612
YTÜ,Makine Mühendisliği,110110243,Türkçe,2023,SAY,216,487.862,26723
YTÜ,Makine Mühendisliği,110110243,Türkçe,2024,SAY,,,
YTÜ,Makine Mühendisliği,110110243,Türkçe,2025,SAY,,,
