bolum_kodu,bolum_adi
10024,Bilgisayar Mühendisliği
10057,Elektrik-Elektronik Mühendisliği
10058,Elektronik Mühendisliği
10059,Elektronik ve Haberleşme Mühendisliği
10128,Makine Mühendisliği
10073,Havacılık ve Uzay Mühendisliği
10074,Havacılık Mühendisliği
10072,Hava Trafik Kontrolü
10178,Uçak Mühendisliği
10141,Mekatronik Mühendisliği
10030,Bilişim Sistemleri Mühendisliği
10029,Bilgisayar ve Yazılım Mühendisliği
10146,Metalurji ve Malzeme Mühendisliği
10065,Gemi İnşaatı ve Gemi Makineleri Mühendisliği
10066,Gemi Makineleri İşletme Mühendisliği
10049,Endüstri Mühendisliği
10082,İmalat Mühendisliği
10162,Savunma Teknolojileri Mühendisliği
10904,Mühendislik Programları (genel)
