bolum_kodu	bolum_adi	panel_id	panel_no	panel_baslik	tablo_no	sutun_0	Kontenjan	Yerle?en	Üniversite Türü	Genel	Okul Birincisi	?ehit ve Gazi Yak?n?	34 Ya? Üstü Kad?n	Depremzede Aday	Toplam Kontenjan	Toplam Yerle?en	Taban Puan	Ortalama Puan	Tavan Puan	Taban Ba?ar? S?ras?	Ortalama Ba?ar? S?ras?	Tavan Ba?ar? S?ras?	Yerle?enlerin ?kamet Ettikleri Bölge	Yerle?en Say?s?	% Oran	Yerle?enlerin ?kamet Ettikleri ?l	Ö?renim Durumu	Tercih S?ras?	Tercih Eden Say?s?	Üniversite	Tercih Say?s?	Kontenjan Ba??na Tercih Say?s?	Program	Tercih Oran?
13987	Makine Muhendisligi	cmeslek_1	1	Kontenjan ve Yerle?en Say?lar?	0	Toplam	6.955	6.479																										
13987	Makine Muhendisligi	cmeslek_1	1	Kontenjan ve Yerle?en Say?lar?	0	Genel	6.666	6.314																										
13987	Makine Muhendisligi	cmeslek_1	1	Kontenjan ve Yerle?en Say?lar?	0	Okul Birincisi	178	75																										
13987	Makine Muhendisligi	cmeslek_1	1	Kontenjan ve Yerle?en Say?lar?	0	?ehit ve Gazi Yak?n?	30	12																										
13987	Makine Muhendisligi	cmeslek_1	1	Kontenjan ve Yerle?en Say?lar?	0	Depremzede Aday	81	78																										
13987	Makine Muhendisligi	cmeslek_1	1	Kontenjan ve Yerle?en Say?lar?	0	Otuz Dört Ya? Üstü Kad?n	---	---																										
13987	Makine Muhendisligi	cmeslek_2	2	Üniversite Türlerine Göre Kontenjan Say?lar?	0				Toplam	6.666	178	30	---	81	6.955																			
13987	Makine Muhendisligi	cmeslek_2	2	Üniversite Türlerine Göre Kontenjan Say?lar?	0				Devlet	5.054	178	---	---	46	5.278																			
13987	Makine Muhendisligi	cmeslek_2	2	Üniversite Türlerine Göre Kontenjan Say?lar?	0				Vak?f	1.475	---	30	---	35	1.54																			
13987	Makine Muhendisligi	cmeslek_2	2	Üniversite Türlerine Göre Kontenjan Say?lar?	0				KKTC	100	---	---	---	---	100																			
